timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-05-13,37.1800,37.2300,35.4695,35.7300,35.7300,34410609,0.0000,1.0000
2020-05-12,38.4800,38.5300,37.3800,37.4300,37.4300,28048266,0.0000,1.0000
2020-05-11,38.5200,38.6300,37.9201,38.1000,38.1000,23256791,0.0000,1.0000
2020-05-08,37.9600,38.8000,37.7400,38.7800,38.7800,24811489,0.0000,1.0000
2020-05-07,37.1700,37.7934,36.8300,37.0900,37.0900,24233903,0.0000,1.0000
2020-05-06,37.3000,37.6200,36.1200,36.1500,36.1500,23664492,0.0000,1.0000
2020-05-05,38.6100,38.9200,36.9900,37.1200,37.1200,34348183,0.0000,1.0000
2020-05-04,35.1900,37.1200,35.0200,37.0900,37.0900,26372150,0.0000,1.0000
2020-05-01,37.2200,37.5000,35.4100,35.8500,35.8500,29261679,0.0000,1.0000
2020-04-30,39.0800,39.0800,37.4400,38.0000,38.0000,41995005,0.0000,1.0000
2020-04-29,37.3700,38.9900,37.3400,38.8600,38.8600,35468877,0.0000,1.0000
2020-04-28,35.9000,36.4000,35.3200,36.1800,36.1800,29565660,0.0000,1.0000
2020-04-27,34.3600,35.6200,33.5758,35.3700,35.3700,23275823,0.0000,1.0000
2020-04-24,35.2300,35.5400,34.0700,34.6200,34.6200,32429641,0.0000,1.0000
2020-04-23,34.4800,35.3450,34.1400,34.5400,34.5400,41595568,0.0000,1.0000
2020-04-22,33.7700,33.9900,33.0100,33.4600,33.4600,36872370,0.0000,1.0000
2020-04-21,31.9400,32.8950,31.3900,32.3100,32.3100,60406494,0.0000,1.0000
2020-04-20,31.9500,34.1000,31.7800,32.8900,32.8900,56354262,0.0000,1.0000
2020-04-17,31.3300,33.9900,31.3100,33.9500,33.9500,45838971,0.0000,1.0000
2020-04-16,31.9800,32.0800,30.6450,30.6900,30.6900,32168841,0.0000,1.0000
2020-04-15,32.3000,32.3800,31.0600,32.0600,32.0600,36686609,0.0000,1.0000
2020-04-14,33.9700,34.3800,33.4200,33.6400,33.6400,36308373,0.0000,1.0000
2020-04-13,35.0900,35.2200,33.2600,33.8000,33.8000,33837225,0.0000,1.0000
2020-04-09,35.5400,36.4600,32.6245,33.9100,33.9100,91302263,0.0000,1.0000
2020-04-08,32.7600,34.3300,32.4900,34.2200,34.2200,41867330,0.0000,1.0000
2020-04-07,32.9600,33.8700,32.0200,32.0800,32.0800,51486467,0.0000,1.0000
2020-04-06,30.5000,31.6200,30.0900,31.4100,31.4100,38007326,0.0000,1.0000
2020-04-03,31.1000,31.3100,28.9750,29.8300,29.8300,63815449,0.0000,1.0000
2020-04-02,28.9600,31.7600,28.2600,30.1500,30.1500,73100609,0.0000,1.0000
2020-04-01,28.1200,28.4800,27.2303,27.6200,27.6200,23814674,0.0000,1.0000
2020-03-31,29.4200,30.0000,28.4800,29.0600,29.0600,34295661,0.0000,1.0000
2020-03-30,27.9500,28.8700,27.0900,28.6200,28.6200,42117641,0.0000,1.0000
2020-03-27,29.1200,29.2100,28.1600,28.3300,28.3300,36516043,0.0000,1.0000
2020-03-26,28.9300,31.0000,28.5700,30.3900,30.3900,46884174,0.0000,1.0000
2020-03-25,27.9500,30.0000,26.7400,28.6400,28.6400,52320690,0.0000,1.0000
2020-03-24,25.4200,27.4900,25.4000,27.3500,27.3500,44380889,0.0000,1.0000
2020-03-23,25.1300,25.2900,23.1500,23.5700,23.5700,48229581,0.5658,1.0000
2020-03-20,26.2600,26.8350,24.7600,25.8600,25.2538,58312716,0.0000,1.0000
2020-03-19,24.3300,25.7100,22.9801,25.6100,25.0097,52206168,0.0000,1.0000
2020-03-18,26.0400,26.5800,22.8800,23.9800,23.4179,52015919,0.0000,1.0000
2020-03-17,28.0800,29.1800,26.9500,28.0000,27.3437,45418733,0.0000,1.0000
2020-03-16,27.9500,31.1150,27.6700,27.8100,27.1581,40209494,0.0000,1.0000
2020-03-13,31.9600,32.2200,28.8000,32.1900,31.4354,34075573,0.0000,1.0000
2020-03-12,31.1900,32.0000,29.3800,29.4700,28.7792,38817163,0.0000,1.0000
2020-03-11,34.4500,35.0500,33.1300,33.6700,32.8808,43114123,0.0000,1.0000
2020-03-10,36.6700,36.8200,33.3600,35.5500,34.7167,48419207,0.0000,1.0000
2020-03-09,35.0700,36.4300,33.7300,33.9400,33.1444,66456495,0.0000,1.0000
2020-03-06,43.5000,43.8900,41.8600,42.5000,41.5038,61488166,0.0000,1.0000
2020-03-05,45.4000,45.6100,44.2750,45.0300,43.9745,29368677,0.0000,1.0000
2020-03-04,46.6400,46.7500,45.6700,46.7400,45.6444,24480102,0.0000,1.0000
2020-03-03,47.3700,47.9900,45.1500,45.6600,44.5897,48590759,0.0000,1.0000
2020-03-02,46.2800,47.1600,44.9300,47.1000,45.9959,36634959,0.0000,1.0000
2020-02-28,43.8800,45.8400,43.5150,45.2700,44.2088,68754338,0.0000,1.0000
2020-02-27,46.6300,47.5250,45.2900,45.3100,44.2479,61246020,0.0000,1.0000
