timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-05-13,57.5000,57.8200,56.6900,57.0300,57.0300,11707350,0.0000,1.0000
2020-05-12,58.2300,58.5500,57.5500,57.5500,57.5500,20587310,0.0000,1.0000
2020-05-11,57.8600,58.4900,57.8013,58.0400,58.0400,8807188,0.0000,1.0000
2020-05-08,57.4200,58.2400,57.3900,58.1200,58.1200,13405039,0.0000,1.0000
2020-05-07,57.4500,57.5300,56.7300,56.8500,56.8500,11203615,0.0000,1.0000
2020-05-06,57.7400,57.9000,56.9600,57.0100,57.0100,10700071,0.0000,1.0000
2020-05-05,57.8200,58.2550,57.5650,57.6400,57.6400,9703853,0.0000,1.0000
2020-05-04,57.5100,57.7200,57.0200,57.5900,57.5900,11313548,0.0000,1.0000
2020-05-01,57.9400,58.4300,57.3800,57.6200,57.6200,13023630,0.0000,1.0000
2020-04-30,58.7900,58.8200,57.9200,58.2600,58.2600,16396307,0.0000,1.0000
2020-04-29,59.5100,59.5100,58.4000,58.9600,58.9600,16038513,0.0000,1.0000
2020-04-28,59.5600,59.6400,58.9600,59.2100,59.2100,13608799,0.0000,1.0000
2020-04-27,59.0700,59.1500,58.6500,58.8800,58.8800,11024009,0.0000,1.0000
2020-04-24,58.4300,58.9000,58.2300,58.7100,58.7100,9638334,0.0000,1.0000
2020-04-23,58.4700,58.8450,57.9900,58.0900,58.0900,21073631,0.0000,1.0000
2020-04-22,58.7500,58.9400,58.1400,58.6100,58.6100,15086841,0.0000,1.0000
2020-04-21,58.4700,58.8050,57.8400,58.0500,58.0500,13020929,0.0000,1.0000
2020-04-20,59.9000,60.3199,59.2600,59.3100,59.3100,9263878,0.0000,1.0000
2020-04-17,60.3200,60.7000,59.5100,60.5000,60.5000,11898584,0.0000,1.0000
2020-04-16,59.5100,59.8100,58.7500,59.5900,59.5900,14485176,0.0000,1.0000
2020-04-15,59.3500,59.7200,58.7601,59.2000,59.2000,12552635,0.0000,1.0000
2020-04-14,58.6900,60.2200,58.4600,60.1500,60.1500,17744128,0.0000,1.0000
2020-04-13,57.9400,58.2400,57.1400,57.7000,57.7000,10679462,0.0000,1.0000
2020-04-09,57.7500,59.0200,57.6100,58.1300,58.1300,20375999,0.0000,1.0000
2020-04-08,57.1700,57.9100,56.5300,57.5900,57.5900,13877394,0.0000,1.0000
2020-04-07,58.3000,58.7600,56.7400,56.7500,56.7500,22985352,0.0000,1.0000
2020-04-06,56.7300,57.8100,55.9200,57.4100,57.4100,14835101,0.0000,1.0000
2020-04-03,54.7000,55.5150,54.4650,55.3500,55.3500,15374067,0.0000,1.0000
2020-04-02,52.8100,55.2300,52.6800,54.9200,54.9200,14748132,0.0000,1.0000
2020-04-01,52.9900,54.3800,52.8600,53.5500,53.5500,11979812,0.0000,1.0000
2020-03-31,55.4000,55.6650,54.3350,54.4700,54.4700,15200704,0.0000,1.0000
2020-03-30,54.0300,55.7600,54.0300,55.6000,55.6000,15892599,0.0000,1.0000
2020-03-27,52.5900,54.9900,52.5000,53.5100,53.5100,26004705,0.0000,1.0000
2020-03-26,51.5900,54.1200,51.3800,53.7600,53.7600,25753416,0.0000,1.0000
2020-03-25,51.0000,52.6100,50.0800,50.9700,50.9700,25524898,0.0000,1.0000
2020-03-24,50.7500,51.4000,49.8000,51.1100,51.1100,28039458,0.0000,1.0000
2020-03-23,50.0100,50.6000,47.6600,48.6300,48.6300,31822191,0.2874,1.0000
2020-03-20,54.0400,54.0600,49.9550,50.4000,50.1039,26901814,0.0000,1.0000
2020-03-19,55.1600,55.4400,53.3900,53.8900,53.5734,26807363,0.0000,1.0000
2020-03-18,54.7500,57.0000,53.3000,55.7500,55.4225,35440377,0.0000,1.0000
2020-03-17,53.7900,57.4500,53.6700,57.2200,56.8838,32316901,0.0000,1.0000
2020-03-16,51.3500,55.5650,50.7800,52.7700,52.4600,27436201,0.0000,1.0000
2020-03-13,54.7700,56.6300,52.7600,56.6100,56.2774,24834239,0.0000,1.0000
2020-03-12,53.8900,56.7100,51.9100,52.1700,51.8635,26713845,0.0000,1.0000
2020-03-11,59.0500,59.3600,56.8700,57.5800,57.2417,17759764,0.0000,1.0000
2020-03-10,60.1000,60.6500,57.8900,60.5500,60.1943,28174786,0.0000,1.0000
2020-03-09,58.1400,60.4950,58.0000,58.8600,58.5142,19119418,0.0000,1.0000
2020-03-06,60.3900,61.8900,59.9400,61.5400,61.1785,24799985,0.0000,1.0000
2020-03-05,61.8300,62.8550,61.4000,62.0300,61.6656,16554909,0.0000,1.0000
2020-03-04,61.1100,63.2500,61.0300,63.2200,62.8486,26214299,0.0000,1.0000
2020-03-03,61.1800,62.2000,59.8200,60.2600,59.9060,35233903,0.0000,1.0000
2020-03-02,58.1100,61.1350,58.1100,61.0900,60.7311,27103051,0.0000,1.0000
2020-02-28,57.8100,58.0000,56.0400,57.9900,57.6493,50978699,0.0000,1.0000
2020-02-27,61.1200,61.6700,59.1500,59.1600,58.8124,39091450,0.0000,1.0000
2020-02-26,62.2100,62.7750,61.6350,61.6700,61.3077,26066386,0.0000,1.0000
2020-02-25,63.2000,63.5050,61.8050,62.0200,61.6556,25721384,0.0000,1.0000
2020-02-24,63.7700,64.2600,63.0850,63.1600,62.7889,19892660,0.0000,1.0000
2020-02-21,64.3600,64.7900,64.3400,64.6500,64.2702,10027832,0.0000,1.0000
2020-02-20,64.3800,64.5900,63.9400,64.5400,64.1608,13397700,0.0000,1.0000
2020-02-19,64.5700,64.7400,64.4600,64.4900,64.1111,4971255,0.0000,1.0000
2020-02-18,64.7000,64.8400,64.4300,64.5600,64.1807,6902254,0.0000,1.0000
2020-02-14,64.7100,64.8100,64.5800,64.7900,64.4094,5421153,0.0000,1.0000
2020-02-13,64.1200,64.7500,64.0300,64.6400,64.2603,7950882,0.0000,1.0000
2020-02-12,64.3700,64.3850,64.1250,64.2600,63.8825,8479023,0.0000,1.0000
2020-02-11,64.6300,64.6300,64.2350,64.2900,63.9123,8368776,0.0000,1.0000
2020-02-10,64.2900,64.6500,64.2700,64.5300,64.1509,7394076,0.0000,1.0000
2020-02-07,64.1800,64.3900,63.9900,64.2600,63.8825,14849047,0.0000,1.0000
2020-02-06,64.1400,64.5200,64.0100,64.1800,63.8030,9628492,0.0000,1.0000
2020-02-05,63.7700,64.0950,63.6900,64.0700,63.6936,20911423,0.0000,1.0000
2020-02-04,63.6800,63.9900,63.4250,63.5600,63.1866,14290904,0.0000,1.0000
2020-02-03,63.4100,63.6500,63.1300,63.1800,62.8088,21797630,0.0000,1.0000
2020-01-31,63.9300,64.2100,63.0000,63.1800,62.8088,15278945,0.0000,1.0000
2020-01-30,63.1800,63.9500,63.1400,63.9000,63.5246,13824814,0.0000,1.0000
2020-01-29,63.5200,63.5700,63.1500,63.1500,62.7790,8300775,0.0000,1.0000
2020-01-28,63.4300,63.6573,63.3700,63.4700,63.0971,7898928,0.0000,1.0000
2020-01-27,63.0500,63.6900,63.0100,63.3900,63.0176,8748368,0.0000,1.0000
