timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-05-13,55.3200,55.3200,54.3300,54.9600,54.9600,19806969,0.0000,1.0000
2020-05-12,56.0600,56.3100,55.3200,55.4300,55.4300,21866487,0.0000,1.0000
2020-05-11,55.7200,56.1300,54.9250,55.9200,55.9200,15663233,0.0000,1.0000
2020-05-08,55.7200,56.3800,55.4600,56.1600,56.1600,13276570,0.0000,1.0000
2020-05-07,55.4600,55.9500,54.9600,55.0500,55.0500,21133109,0.0000,1.0000
2020-05-06,56.9600,57.0000,54.7500,54.8300,54.8300,24072606,0.0000,1.0000
2020-05-05,56.5000,57.4400,56.4300,56.7600,56.7600,11825276,0.0000,1.0000
2020-05-04,55.5900,56.4400,55.2500,56.3000,56.3000,12012216,0.0000,1.0000
2020-05-01,56.5900,56.6300,55.5600,55.8800,55.8800,13458584,0.0000,1.0000
2020-04-30,58.1900,58.2800,56.7300,57.2600,57.2600,19366858,0.0000,1.0000
2020-04-29,60.1100,60.1400,58.3700,58.6100,58.6100,11782714,0.0000,1.0000
2020-04-28,59.7600,60.4000,58.8778,59.1500,59.1500,14321700,0.0000,1.0000
2020-04-27,58.6600,59.3550,58.6000,58.9300,58.9300,12739948,0.0000,1.0000
2020-04-24,58.0600,58.5700,57.3100,58.3200,58.3200,11986857,0.0000,1.0000
2020-04-23,59.1300,59.2900,57.6300,57.9600,57.9600,12414737,0.0000,1.0000
2020-04-22,58.3600,59.4300,57.9700,58.9500,58.9500,15595442,0.0000,1.0000
2020-04-21,57.1900,57.9700,56.6400,57.2800,57.2800,20391576,0.0000,1.0000
2020-04-20,60.1500,60.1500,58.1450,58.2400,58.2400,14380339,0.0000,1.0000
2020-04-17,59.8900,60.8500,59.0750,60.5300,60.5300,10777549,0.0000,1.0000
2020-04-16,58.8800,59.1300,58.0600,58.6400,58.6400,10395277,0.0000,1.0000
2020-04-15,58.9600,59.6800,58.2950,58.6300,58.6300,12835758,0.0000,1.0000
2020-04-14,60.1700,60.7200,59.5900,60.6300,60.6300,17087799,0.0000,1.0000
2020-04-13,60.5200,60.5200,58.3050,58.9000,58.9000,13915219,0.0000,1.0000
2020-04-09,58.9700,61.7788,58.7500,60.8300,60.8300,43861396,0.0000,1.0000
2020-04-08,55.4200,58.5700,54.9600,58.0900,58.0900,32460821,0.0000,1.0000
2020-04-07,57.2900,57.3800,55.0150,55.0900,55.0900,24581122,0.0000,1.0000
2020-04-06,53.6900,56.3500,53.6900,55.7900,55.7900,20704774,0.0000,1.0000
2020-04-03,53.1200,53.7750,51.3900,51.7900,51.7900,15935942,0.0000,1.0000
2020-04-02,51.5200,54.0750,51.2300,53.7100,53.7100,26559937,0.0000,1.0000
2020-04-01,53.2200,53.9500,51.0750,52.0800,52.0800,26708774,0.0000,1.0000
2020-03-31,57.2900,57.2900,55.2300,55.4100,55.4100,33727671,0.0000,1.0000
2020-03-30,56.1600,58.0900,55.9200,57.7400,57.7400,29759523,0.0000,1.0000
2020-03-27,53.7100,57.6850,53.4411,55.6800,55.6800,25092467,0.0000,1.0000
2020-03-26,51.5800,55.9750,51.0600,55.3800,55.3800,30893742,0.0000,1.0000
2020-03-25,49.8300,53.1700,48.3300,51.0300,51.0300,30623981,0.0000,1.0000
2020-03-24,46.6499,49.9700,46.3300,49.7600,49.7600,27449621,0.0000,1.0000
2020-03-23,47.1900,47.1900,43.4350,44.9300,44.9300,32002483,0.4740,1.0000
2020-03-20,52.4200,52.4200,47.4800,47.8200,47.3208,28174730,0.0000,1.0000
2020-03-19,54.6400,54.8800,51.7799,51.9400,51.3978,32717743,0.0000,1.0000
2020-03-18,54.2100,56.0100,52.2300,55.1500,54.5743,42843449,0.0000,1.0000
2020-03-17,52.6100,58.1500,52.0400,57.6600,57.0581,38963099,0.0000,1.0000
2020-03-16,52.4600,56.5100,50.9200,51.1200,50.5864,28143775,0.0000,1.0000
2020-03-13,57.7700,57.7700,53.6500,57.6700,57.0680,27131093,0.0000,1.0000
2020-03-12,57.5000,58.5400,54.0100,54.6900,54.1191,38478592,0.0000,1.0000
2020-03-11,62.6200,62.6600,59.9700,60.8300,60.1950,31860907,0.0000,1.0000
2020-03-10,64.5000,65.2400,61.1900,64.0500,63.3814,40806764,0.0000,1.0000
2020-03-09,63.5500,65.2450,62.4550,63.4600,62.7976,37166903,0.0000,1.0000
2020-03-06,65.8700,67.3800,64.6100,67.1100,66.4095,35498868,0.0000,1.0000
2020-03-05,67.5900,68.5800,66.8600,67.6600,66.9537,33534183,0.0000,1.0000
2020-03-04,65.8900,68.8100,65.8500,68.7200,68.0026,31422010,0.0000,1.0000
2020-03-03,65.8800,67.2400,64.7700,65.0300,64.3512,63275649,0.0000,1.0000
2020-03-02,62.5000,65.9270,62.3501,65.8400,65.1527,42173425,0.0000,1.0000
2020-02-28,62.8600,62.9300,60.6950,62.1800,61.5309,90262754,0.0000,1.0000
2020-02-27,67.0900,67.4600,64.3100,64.3300,63.6585,43571362,0.0000,1.0000
2020-02-26,68.0500,68.6600,67.3500,67.3600,66.6568,26189071,0.0000,1.0000
2020-02-25,69.5800,69.7000,67.9250,68.0500,67.3396,28137098,0.0000,1.0000
2020-02-24,70.0300,70.4200,69.4820,69.5100,68.7844,20442101,0.0000,1.0000
2020-02-21,70.3300,70.7850,70.2600,70.3300,69.5958,11728603,0.0000,1.0000
2020-02-20,70.2300,70.5000,69.8900,70.4600,69.7245,14404069,0.0000,1.0000
2020-02-19,70.7000,70.7950,70.2100,70.2100,69.4771,11195491,0.0000,1.0000
2020-02-18,70.6600,71.1000,70.4600,70.9800,70.2391,15034716,0.0000,1.0000
2020-02-14,70.0500,70.4500,69.9500,70.3900,69.6552,10554068,0.0000,1.0000
2020-02-13,69.2100,69.9600,69.1000,69.9200,69.1901,13587129,0.0000,1.0000
2020-02-12,68.9900,69.3600,68.7700,69.1500,68.4282,8047367,0.0000,1.0000
2020-02-11,68.9700,69.3250,68.9300,69.1000,68.3787,10269676,0.0000,1.0000
2020-02-10,68.7000,68.8500,68.4500,68.8500,68.1313,8139848,0.0000,1.0000
2020-02-07,68.9700,69.0700,68.5700,68.5900,67.8740,10696372,0.0000,1.0000
2020-02-06,68.8600,69.2000,68.6400,68.8100,68.0917,14954070,0.0000,1.0000
2020-02-05,68.3600,68.9550,68.2100,68.7900,68.0719,16305145,0.0000,1.0000
2020-02-04,69.1600,69.3700,68.4400,68.5100,67.7948,20692098,0.0000,1.0000
2020-02-03,69.0900,69.2750,68.9250,69.2000,68.4776,13547914,0.0000,1.0000
2020-01-31,69.1600,69.4400,68.6200,68.9800,68.2599,20474458,0.0000,1.0000
2020-01-30,68.6100,69.3300,68.4400,69.2900,68.5667,14402618,0.0000,1.0000
2020-01-29,68.5100,68.7500,68.2350,68.6500,67.9334,10796631,0.0000,1.0000
2020-01-28,68.2600,68.7600,68.0900,68.4700,67.7553,17528385,0.0000,1.0000
2020-01-27,68.3200,68.8000,68.0000,68.1900,67.4782,11272166,0.0000,1.0000
2020-01-24,68.0000,68.6100,67.8900,68.3600,67.6464,14401452,0.0000,1.0000
2020-01-23,67.5700,68.2000,67.5000,68.1800,67.4683,12968299,0.0000,1.0000
2020-01-22,67.5000,67.7697,67.4000,67.5800,66.8745,10841565,0.0000,1.0000
2020-01-21,66.9100,67.4000,66.6400,67.3700,66.6667,23876305,0.0000,1.0000
2020-01-17,66.2800,66.8500,66.1000,66.7600,66.0631,13258273,0.0000,1.0000
2020-01-16,65.9400,66.3700,65.9200,66.3000,65.6079,10895479,0.0000,1.0000
2020-01-15,65.1200,65.9950,65.1100,65.8900,65.2022,15885917,0.0000,1.0000
2020-01-14,64.7900,65.0000,64.5000,64.9800,64.3017,11495039,0.0000,1.0000
2020-01-13,64.3800,64.9800,64.3800,64.7900,64.1137,12671072,0.0000,1.0000
2020-01-10,64.3200,64.6250,64.2900,64.4000,63.7277,10582934,0.0000,1.0000
2020-01-09,63.8000,64.3000,63.7900,64.2300,63.5595,11643124,0.0000,1.0000
2020-01-08,63.9400,64.1600,63.7800,63.8800,63.2132,12741352,0.0000,1.0000
2020-01-07,63.8400,63.9400,63.5500,63.9100,63.2429,13070296,0.0000,1.0000
2020-01-06,63.8600,64.1900,63.7600,64.0000,63.3319,10444528,0.0000,1.0000
2020-01-03,63.8600,64.1700,63.7100,63.9400,63.2725,17989252,0.0000,1.0000
2020-01-02,64.7300,64.7500,63.5650,63.8100,63.1439,19107707,0.0000,1.0000
2019-12-31,64.3600,64.7000,64.2800,64.6200,63.9454,10808397,0.0000,1.0000
2019-12-30,64.1100,64.3800,64.0250,64.3700,63.6981,11934266,0.0000,1.0000
2019-12-27,64.1900,64.3800,64.0700,64.3800,63.7080,10301678,0.0000,1.0000
2019-12-26,64.1400,64.2500,63.9247,64.1900,63.5199,6658464,0.0000,1.0000
2019-12-24,64.0600,64.1100,63.7400,64.0800,63.4111,4512821,0.0000,1.0000
2019-12-23,64.7000,64.7300,63.8200,63.9900,63.3220,16477952,0.0000,1.0000
2019-12-20,64.1300,64.9400,64.1300,64.5900,63.9158,22970906,0.5010,1.0000
2019-12-19,64.6300,64.7400,64.2500,64.6500,63.4827,16901621,0.0000,1.0000
2019-12-18,64.4200,64.7200,64.0800,64.6300,63.4631,12807892,0.0000,1.0000
2019-12-17,64.2000,64.7720,64.1400,64.3700,63.2078,16847263,0.0000,1.0000
2019-12-16,63.3700,64.2000,63.3700,64.1600,63.0016,20773860,0.0000,1.0000
2019-12-13,62.9100,63.4800,62.6650,63.3700,62.2258,19334589,0.0000,1.0000
2019-12-12,63.0700,63.3200,62.6100,62.8800,61.7447,24115644,0.0000,1.0000
2019-12-11,63.0600,63.2600,62.8300,63.1500,62.0098,11959853,0.0000,1.0000
2019-12-10,62.9800,63.1100,62.8200,62.9800,61.8429,12598784,0.0000,1.0000
2019-12-09,63.3500,63.3600,62.8800,62.9900,61.8527,11583159,0.0000,1.0000
2019-12-06,63.1600,63.5800,63.1600,63.2100,62.0687,9582180,0.0000,1.0000
2019-12-05,63.1900,63.4100,63.0300,63.4000,62.2553,12449669,0.0000,1.0000
2019-12-04,62.7900,63.3900,62.7400,63.2900,62.1473,19597689,0.0000,1.0000
2019-12-03,62.8000,62.9300,62.5540,62.8100,61.6759,12926016,0.0000,1.0000
2019-12-02,62.7500,62.9100,62.5100,62.6400,61.5090,18700616,0.0000,1.0000
2019-11-29,63.2300,63.4700,62.9850,63.0500,61.9116,5121473,0.0000,1.0000
2019-11-27,62.8500,63.1800,62.8000,63.1100,61.9705,12528186,0.0000,1.0000
2019-11-26,62.8900,63.0900,62.7500,63.0000,61.8625,16150106,0.0000,1.0000
2019-11-25,63.0600,63.2400,62.6500,62.7900,61.6563,20398736,0.0000,1.0000
2019-11-22,63.1200,63.1500,62.5450,63.0000,61.8625,11484665,0.0000,1.0000
2019-11-21,63.1900,63.2500,62.7700,62.9800,61.8429,14208069,0.0000,1.0000
2019-11-20,62.9100,63.2900,62.7600,63.2000,62.0589,19679533,0.0000,1.0000
2019-11-19,62.8000,63.1663,62.4900,62.8200,61.6858,18052402,0.0000,1.0000
2019-11-18,62.9800,63.5000,62.8700,62.9800,61.8429,16490814,0.0000,1.0000
2019-11-15,62.6800,62.8800,62.4900,62.8500,61.7152,9965767,0.0000,1.0000
2019-11-14,62.6300,62.9700,62.4500,62.6500,61.5188,16836021,0.0000,1.0000
2019-11-13,61.7400,62.5700,61.6600,62.4300,61.3028,17293100,0.0000,1.0000
2019-11-12,61.3800,61.6400,61.3400,61.5200,60.4092,12668515,0.0000,1.0000
2019-11-11,61.7700,61.8400,61.3100,61.3700,60.2619,9273156,0.0000,1.0000
2019-11-08,61.8200,62.0900,61.4800,61.7500,60.6351,15971477,0.0000,1.0000
2019-11-07,62.5300,62.8497,61.6000,62.0100,60.8904,22844714,0.0000,1.0000
2019-11-06,62.7300,63.1200,62.6300,62.8600,61.7250,17771819,0.0000,1.0000
2019-11-05,62.9600,63.1600,62.4529,62.6200,61.4894,21763830,0.0000,1.0000
2019-11-04,64.0300,64.0650,63.0400,63.2700,62.1276,24340788,0.0000,1.0000
2019-11-01,64.2900,64.4900,63.9800,64.0900,62.9328,15690736,0.0000,1.0000
2019-10-31,63.9600,64.3300,63.7450,64.2500,63.0899,17245852,0.0000,1.0000
2019-10-30,63.3900,64.0600,63.3820,63.9000,62.7463,19678290,0.0000,1.0000
2019-10-29,63.2400,63.4800,63.0600,63.3400,62.1964,19772413,0.0000,1.0000
2019-10-28,63.8300,64.0000,63.2005,63.2800,62.1375,20541839,0.0000,1.0000
2019-10-25,64.8700,64.9600,63.9000,64.1600,63.0016,16925105,0.0000,1.0000
2019-10-24,64.6300,64.9300,64.5300,64.8200,63.6497,11480470,0.0000,1.0000
